holder_address,balance
TPyjyZfsYaXStgz2NmAraF1uZcMtkgNan5,1524887294.443165100915143379
TDw3sdjdy11ZN1ob6SHdkUm9vZsP7L4x2p,946790077.969277349644948209
TASUAUKXCqvwYjesEWv22pFjRsCeF4NKot,877450238.105932198617384499
TYukBQZ2XXCcRCReAUguyXncCWNY9CEiDQ,466392481.428486417858673475
TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,239128169.000000000000000000
TW68dBGdy9gtk16BfzmvaCZ9pEti3KFkk2,176544424.469248562305908281
TWQhCXaWz4eHK4Kd1ErSDHjMFPoPc9czts,176425290.848618326316133378
TQwh1ZDBdqMKDtGWEeDdrRUUbtgaVL1Se2,111168639.488165852426268223
TQrgqthm9yz5yMSEj9Pm23F4SMZsH4wni7,106902607.000000179077644288
TQeKrfxoC2cgsdAmahTuDabZMQKbspsFV3,97867183.075408399150000000
TSSxr68yauhJoQ97rVDnuEE75zpmdUHh1X,94436277.568528963315804032
TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R,66509164.255678754153296432
TScVwVTjqoqPEJ6atnvGCtErWnCyNbzmUL,58851560.042518714063588314
TNaRAoLUyYEV2uF7GUrzSjRQTU8v5ZJ5VR,45792330.597424122778234033
THQFoJSwtsMMRKCG6B7P5kGcxJQXGi2kiS,42508716.279098576837594123
TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,35293475.487498352077479344
TT1DyeqXaaJkt6UhVYFWUXBXknaXnBudTK,25000000.000000000000000000
TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,20340418.000000003537429019
TJtC8zwbMMjJJZGT7rX6TbfUmpGCDE8bbg,15307024.542809306518116268
TRVcYEBh7QaU9V7qoLk1iqzejNuYBpPx6n,14848403.510088760549751076
TNCmcTdyrYKMtmE1KU2itzeCX76jGm5Not,13303934.955745831616789322
TSr4mHiLvdmk2LVEfeS2aMPFkwkfoD9vvB,12412376.207991623547333504
TRSxbWMZRkPJp1vCBRtWvYPngrhM3pwTrb,10265705.000000000000000000
TTztmh9Ct97o7rouFL7iyN42zSswtsUfaL,10265210.000000000000000000
TE7VvmhpBdP6UmKAyQQxZoS8uJRFFyK4cP,10259931.000000000000000000
TGQgcEaumEtEKeZAQsDE8nW69aQJKN1pSu,10256601.000000000000000000
TMg8EZKP826RgZ1pVj1ZZ9VHjer7xRTDWR,10234030.000000000000000000
TH6aJnRVvUwwfpWDad5pf8mdw7yxXMb6FC,10229035.000000000000000000
TMrYzpCJFkKomVexUuVMXzid82AcjxHDXc,10224245.000000000000000000
TTxqyRoeA7R4YaZhdWo6Sk1Gb66qaLwNBc,10216493.000000000000000000
TM8wubbpZPkdj6vNH5oTTtHhfWzE1XfzUh,10211537.000000000000000000
TBvKXMogVXrphoffHjy24iMbiQ8Ppg9H3j,10202888.000000000000000000
TRfoGmYP1h8tBEjcHuRHjbfSwqSKKhpoDd,10164591.000000000000000000
THrJ3pUkRYXp4GtDNLvxUcAz4UxTPfSbJv,10163721.000000000000000000
TL5iymxXapsQHssyKmF1a8ykHKGqWX1tGj,10161796.000000000000000000
TKuoTaFUZwc1HwGcBKUbHLpWQUAp9cTueM,10137909.000000000000000000
TTRqJjBZab6hrd9h9RrMjehRE7b9x8ymkF,10131013.000000000000000000
TSWxEkZcDnxcRgVxAoTukrrRWR7f1vKKFq,10130030.000000000000000000
TPPQW2vC7z7KUpfUrqquPrWx3r2wkznitk,10111596.000000000000000000
TQ1a55WHuvnDWnw4ZStMadW7LbQuzef5Q1,10104042.000000000000000000
TKFaCsM1KEbdmqenmuTYN8JRaXR1SZwQGN,10097327.000000000000000000
TKMEfwAkJG9ErLFibp3i1GKzM2d6NLZZUx,10093786.000000000000000000
TKBnNrCHVjAgPXfjuGA9cHFoBBjRouWno8,10072954.000000000000000000
TTg8aVDEURb2XJLAmbq6yHh4LCyxE5kAyp,10060993.000000000000000000
TERU9heWM7x5LrstawNijhZcas8fkQcwmn,10060168.000000000000000000
TY4Rhrv5UczsST9Pzo63ubUtsnHCYcfYfc,10051394.000000000000000000
TPXh9C2jiCZSG2L9bJf2b9ukda3ERUNwxb,10047501.000000000000000000
TPQ13QxUTpjtBNf9i4rZFjmFKL5zcTm9jB,10046725.000000000000000000
TKcMV8xXAn5HHXGWW942ZyPxCppTVTrUmf,10042228.000000000000000000
TJpPDmv8LFvCfHGP4P7A12FWGP6YTnPGpP,10039618.000000000000000000
TELY58d3ZBDMYZGWeqnPmreL8aXgwYhi5h,10037224.000000000000000000
TDs3UymSneBXtUJud87JzRRR1EBxa4qRwQ,10029070.000000000000000000
TVU7ArfBF6sAhNYpV1kzfKxbYwBNUD246a,10022704.000000000000000000
TVGDDAxEiYLkgx48Y1GcJLejTnwiBvEUMU,10013334.000000000000000000
TKsLVSfkpeWjCKKaXisvJoiW4GHBpthmAv,10008871.000000000000000000
TKtNvyFptbfQWj82KzpN5YRi5TUMtQT7hy,10004945.000000000000000000
TWF1jHjjfNGvxC4Bvgkh2e8Di9BGLj3ixR,9992591.000000000000000000
TEiryRpKL8M4yfVpAozbvg5CPE7P6iamiv,9983960.000000000000000000
TCZiMedZgJEqSqeByF6caLiHdriub4A5t7,9974584.000000000000000000
TY2BNyHMz5Gz3ySFmhauuswucbZGHftFSh,9966768.000000000000000000
TPbopFM8mjBnGBQBosL9gHbWtPx6dchjfm,9964784.000000000000000000
THA85SUq6x4fnrkjANThhzfajfNEechPyL,9954955.000000000000000000
TYvBdv7yB9PY6a3aZhMSuuz3JNoGv2ksrm,9945580.000000000000000000
TVhHCxxLUfnXgyhNwwAcdktgJnUdHaPri2,9941361.000000000000000000
TYqNqy2x49za2yY1UhfJRM2bgd9LxiWZKK,9937983.000000000000000000
TE6SJ7LLLoy7Xp5eg1744LNY1VMxuqhtvY,9929355.000000000000000000
TXuM93wvD1vJnkhfQk4EHjP2zMKGzSaAJG,9923895.000000000000000000
TM2DcvtRs2JK67WSCBSSZZmFUuM8N7TEqf,9923832.000000000000000000
TY2B8KUoCBgiqGaiKN9TWcuqn9wv8FmpFE,9916771.000000000000000000
TLsrX1p8CGgofT3pEPi8ZvqSh4d73NKXXC,9915688.000000000000000000
TRVXbFtXFcFkqL7U7P7sgqrFnBg73hjtbc,9912511.000000000000000000
TFjUZ2Mx6HyR8ADMNjwC2ZsewonJ84Fv6p,9900722.000000000000000000
TCQRhYhu67ibsjLGgKVW3GNKvTy2FDSPfL,9899295.000000000000000000
TTBebveRM1rN2LaeSnFtGeHY36TYuA23yL,9897008.000000000000000000
TDbRUsAMHbvzYQp2GGRzmfKVxC82rrnUDe,9896104.000000000000000000
TFDwtHpxZQmA7xWUnf8SJEUVEmrLeR8YAZ,9893632.000000000000000000
TJFqY79Gjs4gtu3NhAJZyD3d1oaYiTT2MN,9889227.000000000000000000
TSeREx6vJNQ9aaBEzL4ZvQ4ef7Yvxh9fbg,9879195.000000000000000000
TKsNq5twiY5UgXk3wZBfUb56HhxrxwKbUU,9875365.000000000000000000
TScmfzxAShkY61gfC7c57hP8dFsdaJNaqZ,9872572.000000000000000000
TSXDX6ubWPUw2vGtYcySLfVz5R5JV5uDn8,9871267.000000000000000000
TXsZoTPzTGrRqjQApVvkNa7pVBVAQzFqoj,9869817.000000000000000000
TY5Smde2cp7q24bAbh2sDLL2p48Y5akWGR,9858755.000000000000000000
TSas9xhkKjkb2bZh3LecvYNmAobtgvb4ys,9852681.000000000000000000
TBpNTghd2vf3mUKsFynLDJ3ysUeA7fUsLA,9851699.000000000000000000
TMBDx4RLCP2Y2Wz3XLxKzqATutbVw89aU3,9846112.000000000000000000
TNPMSDA4djsPGX3WKCZk1hPFSpmCVWGSuu,9844998.000000000000000000
TH3NyJp8vjJW33yAwedHyxZJkXeBH8oTEw,9837389.000000000000000000
TAS77QGcuRNfdmhFZj92tFpFW5KJ3RbFgN,9833740.000000000000000000
TF8wsket86MQ5hSKi6ThCFjFkNEvuVNzGG,9833286.000000000000000000
TQ6v1BJUDbgP6ZQ2nvY2siiLZtEeEwbVNT,9794678.000000000000000000
TEQo1xbGNmk4BFqrswrNjh92TkZjZeZtzG,9790857.000000000000000000
TKf6kDPCn4SPbUysxFoYeEapebzq7UGHog,9776237.000000000000000000
TDTG5sSwPUPWXgR5nhiiv3BAwzrkiv8CH6,9773257.000000000000000000
TATMTcGDGwwQhrCMoxb4KmxsDoKAZuG16Z,9769743.000000000000000000
THiwk9Xf6H3ebqA8fNRxaJyiCqHRXohfQx,9747792.000000000000000000
TXoiJQThVsnTXuqMEyMC3HtFbQ3oqaPMNA,9746152.000000000000000000
TEXreUdB66AH7zzW6rYcsvtSLcGtraZ773,9744277.000000000000000000
TKz6kZ73TLw62QjUNUkxbfQ9QguroZ1RS8,9741463.000000000000000000
TX7Z1RshoucaraDp7fvfETwA5Ny1b2etxk,9733545.999999922355044352
TRhSa262JKjAtSGZSeAtLcUfm68p2FSeX7,9732520.000000000000000000
TJ8vUbgxwebrDBicwaJGNKxccTTECgZdgY,9729396.000000000000000000
TBp3EPnWbsdDwi75nFffyHFxJ7yu2Dzkau,9722065.000000000000000000
TYP1MxUPsj85uxfLKfyC7H1nLoe3suqaw4,9720440.000000000000000000
TQj42cA83D3tQamNr85t2W6Syg5eMtTTRh,9716525.000000000000000000
TM5kso9zJ9DDCuPfttJgeWiWEgbreuhVep,9716440.000000000000000000
TYFqPaURwuWcXXQTAsDCX69hkREHhKwtds,9713816.000000000000000000
TYaBv5WayQcXJCSYNN5T7DAc7CFfWaLXkT,9708474.000000000000000000
TLNE2LxobjATjauTzdfNyeKs4fnSXAkwaS,9696038.000000000000000000
TTBc4L2Xi83fUWaYD2hRgaJ1QoqVgaM6ou,9689951.000000000000000000
TNKvYhPpoVUs3hsMXsyonmcFGEp3mKvhuk,9673153.000000000000000000
TWw1p8n7bYX6DdAAR5K89LuquWBCDyzkxq,9673036.000000000000000000
THcgjF1idTfwrBiogVvD4rSLP2kKnqjnq3,9668658.000000000000000000
TA4zqhzrSd2JasZaE4BMSaoMWUHHjWLX11,9656381.000000000000000000
TSamzdJfqpXBUpnd4zapktQG2M4DFyKjCP,9623540.000000000000000000
TEWAMBa9K6TwqG9a6tj4fJjyW5SoFcHbNZ,9622302.000000000000000000
TTF3K5Kj8ZC9uHJnzH39qsMLGHYAqT7T1P,9618746.000000000000000000
TGEL5U5W874BqMUJRoDSMaZusfnxztmxQ8,9618679.000000000000000000
TDJaxJKCy5dqFaJHTA68wrVC2QgYwgBtoG,9617590.000000000000000000
TWQnM6gUp92S2vm58bwdANFnCRHCw1CL1x,9611452.000000000000000000
TVeULKQQ1xmnLMKkpsa7L6SxQgqU9kH73k,9610727.000000000000000000
TUPKQkn7KLbBUXNzjZ6tQZEgZEtgWTuAMw,9601840.000000000000000000
TR2mpTsLNZhn6rExRu3p1bJXi4hGysukNx,9599600.000000000000000000
TDA1M6m8CYTMyJLHDRMpvb2YyZJdP2YPkZ,9594742.000000000000000000
TRhQRR6uCKCEpBxNdhBPvgSbsjQzvFhDaG,9583579.000000000000000000
TPyNi6AKUBvHVKSxfvgatTj9zgkVAD5Y73,9572447.000000000000000000
TMXGatYtZnPpdB3KdSXfApNX1Hn1CjeR9E,9571485.000000000000000000
TPVzLHQNdcsU6rtbSuxnmK9sniquGcJ65p,9563821.000000000000000000
TBWbKxhyP7BXvVrmvUTUrzM2RQGvwLfbCx,9557610.000000000000000000
TSiCt2TqQRQ37tnGGNbzBk6Sk1pLJW9dBW,9556658.000000000000000000
TYyHemLR3WzDwB3xxdhGK1L37UD9qEVLJg,9549075.000000000000000000
TUw3voNEKxBDBfCB87fEMivSiCdMhCERP7,9541697.000000000000000000
TGwHtbdK7hPgUtw3Pyi32ccpEHiiJXRcs8,9534881.000000000000000000
TB4vx9F7J23VPY6X6e3ULqDDJ6UiF9TFEQ,9533587.000000000000000000
TWm2iN3pFCPsfTBMNcweGFjBhxZrdsAB7s,9525364.000000000000000000
TUdwmzz2EJM6ZRAn1MswdTGvqDkNvXqYDm,9521317.000000000000000000
TNVBSY6e1YXhFzADEjE3DfacixEwEkdBcZ,9516306.000000000000000000
TXTapQmRuDpqH6wpBLF9i9Ct5TUNcQMvAb,9513205.000000000000000000
TSfDxjEaHuvB7rtCGERPeitrXNjmKadWej,9511701.000000000000000000
TM2qv9fdySeHxQbGBkmWT38SZ1gncDn64Q,9485115.000000000000000000
